"ZREGION";"ZREGION";"ZFUELTYP";"ZFUELTYP";"ZFUELCAT";"ZFUELCAT";"ZCOUNTRY";"ZCOUNTRY";"ZCONTI";"ZCONTI";"ZCALYEAR";"ZCALYEAR";"1ROWCOUNT0000000000000009";"ZCONSBCF00000000000000008";"ZCONSBCF00000000000000008";"ZCONSBCM00000000000000008";"ZCONSBCM00000000000000008";"ZCONSMT000000000000000007";"ZCONSMT000000000000000007";"ZCONSMTO00000000000000008";"ZCONSMTO00000000000000008";"ZCONSTBD00000000000000008";"ZCONSTBD00000000000000008";"ZCONSTW000000000000000007";"ZCONSTW000000000000000007"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1976";"01976";"1";"0";"MT";"0";"BCF";"0";"TBD";"2";"BCM";"2";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1977";"01977";"1";"0";"MT";"0";"BCF";"0";"TBD";"3";"BCM";"3";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1978";"01978";"1";"0";"MT";"0";"BCF";"0";"TBD";"3";"BCM";"3";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1979";"01979";"1";"0";"MT";"1";"BCF";"0";"TBD";"6";"BCM";"5";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1980";"01980";"1";"0";"MT";"1";"BCF";"0";"TBD";"6";"BCM";"5";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1981";"01981";"1";"0";"MT";"1";"BCF";"0";"TBD";"6";"BCM";"6";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1982";"01982";"1";"0";"MT";"1";"BCF";"0";"TBD";"6";"BCM";"5";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1983";"01983";"1";"0";"MT";"1";"BCF";"0";"TBD";"7";"BCM";"6";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1984";"01984";"1";"0";"MT";"1";"BCF";"0";"TBD";"7";"BCM";"6";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1985";"01985";"1";"0";"MT";"1";"BCF";"0";"TBD";"8";"BCM";"7";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1986";"01986";"1";"0";"MT";"1";"BCF";"0";"TBD";"9";"BCM";"8";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1987";"01987";"1";"0";"MT";"1";"BCF";"0";"TBD";"9";"BCM";"8";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1988";"01988";"1";"0";"MT";"1";"BCF";"0";"TBD";"10";"BCM";"9";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1989";"01989";"1";"0";"MT";"1";"BCF";"0";"TBD";"12";"BCM";"10";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1990";"01990";"1";"0";"MT";"1";"BCF";"0";"TBD";"11";"BCM";"10";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1991";"01991";"1";"0";"MT";"1";"BCF";"0";"TBD";"11";"BCM";"10";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1992";"01992";"1";"0";"MT";"1";"BCF";"0";"TBD";"11";"BCM";"10";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1993";"01993";"1";"0";"MT";"1";"BCF";"0";"TBD";"12";"BCM";"11";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1994";"01994";"1";"0";"MT";"1";"BCF";"0";"TBD";"12";"BCM";"11";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1995";"01995";"1";"0";"MT";"1";"BCF";"0";"TBD";"13";"BCM";"12";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1996";"01996";"1";"0";"MT";"1";"BCF";"0";"TBD";"14";"BCM";"13";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1997";"01997";"1";"0";"MT";"1";"BCF";"0";"TBD";"14";"BCM";"13";"MTO";"0";"TWH"
"Africa";"AF";"Natural Gas";"NGS";"Non Renewable";"NR";"AF/AF/Other Africa";"AF   AF   Other Africa";"AF";"AF";"1998";"01998";"1";"0";"MT";"1";"BCF";"0";"TBD";"15";"BCM";"13";"MTO";"0";"TWH"
